movie_title,release_date,genre,MPAA_rating,directors,revenue,animated
Recess: School's Out,16-Feb-01,Comedy,G,Chuck Sheetz,"$54,656,124 ",Yes
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,Sam Weisman,"$94,226,333 ",NO
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,"$67,910,166 ",Yes
Young Black Stallion,25-Dec-03,Adventure,G,Simon Wincer,"$9,254,344 ",NO
What's Love Got to Do With It,9-Jun-93,Drama,R,Brian Gibson,"$79,618,610 ",NO
Lady and the Tramp,22-Jun-55,Drama,G,Hamilton Luske,"$1,236,035,515 ",NO
Corky Romano,12-Oct-01,Comedy,PG-13,Rob Pritts,"$35,705,805 ",NO
The Waterboy,6-Nov-98,Comedy,PG-13,Frank Coraci,"$288,691,833 ",NO
Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,Anthony Russo,"$268,013,076 ",NO
Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,Gore Verbinski,"$544,817,142 ",NO
Ladder 49,1-Oct-04,Action,PG-13,Jay Russell,"$101,161,045 ",NO
Coyote Ugly,4-Aug-00,Drama,PG-13,David McNally,"$95,070,168 ",NO
The Sixth Man,28-Mar-97,Comedy,PG-13,Randall Miller,"$27,117,599 ",NO
Dick Tracy,15-Jun-90,Action,PG,Warren Beatty,"$207,231,621 ",NO
Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,Bill Duke,"$116,965,668 ",NO
DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,Bob Hathcock,"$36,107,823 ",Yes
Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,Mark Herman,"$5,872,667 ",NO
The Hunchback of Notre Dame,21-Jun-96,Adventure,G,Gary Trousdale,"$190,988,799 ",Yes
Ernest Goes to Jail,6-Apr-90,Comedy,PG,John R. Cherry III,"$49,999,822 ",NO
Ant-Man,17-Jul-15,Action,PG-13,Peyton Reed,"$180,202,163 ",NO
The Shaggy Dog,10-Mar-06,Comedy,PG,Brian Robbins,"$78,667,428 ",NO
The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,Wes Anderson,"$32,198,655 ",NO
Bridge to Terabithia,16-Feb-07,Drama,PG,Gábor Csupó,"$100,760,721 ",NO
Beauty and the Beast,13-Nov-91,Musical,G,Gary Trousdale,"$363,017,667 ",NO
Miami Rhapsody,27-Jan-95,Romantic Comedy,PG-13,David Frankel,"$9,857,435 ",NO
A Bug's Life,20-Nov-98,Adventure,G,John Lasseter,"$288,981,698 ",Yes
3 Men and a Little Lady,21-Nov-90,Comedy,PG,Emile Ardolino,"$143,108,869 ",NO
